,row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,customer_name,segment,city,country,state,region,postal_code,product_name,sub-category,category
231,11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,Brosina Hoffman,Consumer,Los Angeles,United States,California,West,90032,Chromcraft Rectangular Conference Tables,Tables,Furniture
240,12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,Brosina Hoffman,Consumer,Los Angeles,United States,California,West,90032,Konftel 250 Conference phone - Charcoal black,Phones,Technology
351,13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,Andrew Allen,Consumer,Concord,United States,North Carolina,South,28027,Xerox 1967,Paper,Office Supplies
428,14,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,Irene Maddox,Consumer,Seattle,United States,Washington,West,98103,Fellowes PB200 Plastic Comb Binding Machine,Binders,Office Supplies
553,15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,Harold Pawlan,Home Office,Fort Worth,United States,Texas,Central,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,Office Supplies
563,16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,Harold Pawlan,Home Office,Fort Worth,United States,Texas,Central,76106,Storex DuraTech Recycled Plastic Frosted Binders,Binders,Office Supplies
624,17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.3176,Pete Kriz,Consumer,Madison,United States,Wisconsin,Central,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage,Office Supplies
758,18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.99,Alejandro Grove,Consumer,West Jordan,United States,Utah,West,84084,Fellowes Super Stor/Drawer,Storage,Office Supplies
850,19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0.0,2.4824,Zuschuss Donatelli,Consumer,San Francisco,United States,California,West,94109,Newell 341,Art,Office Supplies
857,20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011,Zuschuss Donatelli,Consumer,San Francisco,United States,California,West,94109,Cisco SPA 501G IP Phone,Phones,Technology
858,21,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.383999999999999,Zuschuss Donatelli,Consumer,San Francisco,United States,California,West,94109,"Wilson Jones Hanging View Binder, White, 1""",Binders,Office Supplies
903,22,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0.0,5.0596,Ken Black,Corporate,Fremont,United States,Nebraska,Central,68025,Newell 318,Art,Office Supplies
908,23,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0.0,15.6884,Ken Black,Corporate,Fremont,United States,Nebraska,Central,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,Office Supplies
1057,24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,Sandra Flanagan,Consumer,Philadelphia,United States,Pennsylvania,East,19140,"Global Deluxe Stacking Chair, Gray",Chairs,Furniture
92,25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0.0,240.2649,Emily Burns,Consumer,Orem,United States,Utah,West,84057,Bretford CR4500 Series Slim Rectangular Table,Tables,Furniture
1170,26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,Eric Hoffmann,Consumer,Los Angeles,United States,California,West,90049,Wilson Jones Active Use Binders,Binders,Office Supplies
1176,27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0.0,11.7741,Eric Hoffmann,Consumer,Los Angeles,United States,California,West,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Accessories,Technology
1277,28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Furniture
1282,29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140,Avery Recycled Flexi-View Covers for Binding Systems,Binders,Office Supplies
1289,30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings,Furniture
44,31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140,Poly String Tie Envelopes,Envelopes,Office Supplies
1301,32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Art,Office Supplies
1307,33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Binders,Office Supplies
1315,34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.5460000000000003,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140,Lumber Crayons,Art,Office Supplies
1391,35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468,Matt Abelman,Home Office,Houston,United States,Texas,Central,77095,Easy-staple paper,Paper,Office Supplies
1570,36,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737,Gene Hale,Corporate,Richardson,United States,Texas,Central,75080,GE 30524EE4,Phones,Technology
823,37,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963,Gene Hale,Corporate,Richardson,United States,Texas,Central,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furnishings,Furniture
1585,38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415,Steve Nguyen,Home Office,Houston,United States,Texas,Central,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,Office Supplies
1587,39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764,Steve Nguyen,Home Office,Houston,United States,Texas,Central,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,Furniture
1595,40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147,Steve Nguyen,Home Office,Houston,United States,Texas,Central,77041,"Global Fabric Manager's Chair, Dark Gray",Chairs,Furniture
1604,41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564,Steve Nguyen,Home Office,Houston,United States,Texas,Central,77041,Plantronics HL10 Handset Lifter,Phones,Technology
1712,42,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564,Linda Cazamias,Corporate,Naperville,United States,Illinois,Central,60540,Panasonic Kx-TS550,Phones,Technology
1803,43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0.0,3.894,Ruben Ausman,Corporate,Los Angeles,United States,California,West,90049,"Eldon Base for stackable storage shelf, platinum",Storage,Office Supplies
1867,44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616,Erin Smith,Corporate,Melbourne,United States,Florida,South,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage,Office Supplies
1978,45,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,TEC-AC-10000171,45.98,2,0.0,19.7714,Odella Nelson,Corporate,Eagan,United States,Minnesota,Central,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,Technology
1741,46,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,OFF-BI-10003291,17.46,2,0.0,8.2062,Odella Nelson,Corporate,Eagan,United States,Minnesota,Central,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,Office Supplies
2043,47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0.0,8.4784,Patrick O'Donnell,Consumer,Westland,United States,Michigan,Central,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Storage,Office Supplies
2122,48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-AC-10002167,45.0,3,0.0,4.95,Lena Hernandez,Consumer,Dover,United States,Delaware,East,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,Technology
2130,49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0.0,6.104,Lena Hernandez,Consumer,Dover,United States,Delaware,East,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Phones,Technology
2204,50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0.0,17.9634,Darren Powers,Consumer,New Albany,United States,Indiana,Central,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Binders,Office Supplies
2208,51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0.0,35.3346,Darren Powers,Consumer,New Albany,United States,Indiana,Central,47150,Avery 485,Labels,Office Supplies
2216,52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0.0,2.9568,Darren Powers,Consumer,New Albany,United States,Indiana,Central,47150,Longer-Life Soft White Bulbs,Furnishings,Furniture
2226,53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0.0,17.0981,Darren Powers,Consumer,New Albany,United States,Indiana,Central,47150,"Global Leather Task Chair, Black",Chairs,Furniture
1017,54,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0.0,6.2566,Janet Molinari,Corporate,New York City,United States,New York,East,10024,Advantus Push Pins,Fasteners,Office Supplies
2303,55,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0.0,298.6855,Janet Molinari,Corporate,New York City,United States,New York,East,10024,AT&T CL83451 4-Handset Telephone,Phones,Technology
2369,56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-ST-10000604,208.56,6,0.0,52.14,Ted Butterfield,Consumer,Troy,United States,New York,East,12180,Home/Office Personal File Carts,Storage,Office Supplies
2376,57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10001569,32.4,5,0.0,15.552,Ted Butterfield,Consumer,Troy,United States,New York,East,12180,Xerox 232,Paper,Office Supplies
2380,58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098,Ted Butterfield,Consumer,Troy,United States,New York,East,12180,Novimex Turbo Task Chair,Chairs,Furniture
2386,59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10000587,14.56,2,0.0,6.9888,Ted Butterfield,Consumer,Troy,United States,New York,East,12180,"Array Parchment Paper, Assorted Colors",Paper,Office Supplies
2123,60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,TEC-AC-10002167,30.0,2,0.0,3.3,Ted Butterfield,Consumer,Troy,United States,New York,East,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,Technology
2390,61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362000000000002,Ted Butterfield,Consumer,Troy,United States,New York,East,12180,Plastic Binding Combs,Binders,Office Supplies
1779,62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-AR-10001868,1.68,1,0.0,0.84,Ted Butterfield,Consumer,Troy,United States,New York,East,12180,Prang Dustless Chalk Sticks,Art,Office Supplies
2443,63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0.0,6.1512,Kunst Miller,Consumer,Los Angeles,United States,California,West,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Accessories,Technology
2449,64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612,Kunst Miller,Consumer,Los Angeles,United States,California,West,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders,Office Supplies
2456,65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0.0,68.9631,Kunst Miller,Consumer,Los Angeles,United States,California,West,90004,Xerox 1943,Paper,Office Supplies
2460,66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0.0,22.3328,Kunst Miller,Consumer,Los Angeles,United States,California,West,90004,Luxo Economy Swing Arm Lamp,Furnishings,Furniture
1137,67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225,Paul Stevenson,Home Office,Chicago,United States,Illinois,Central,60610,"Global Value Mid-Back Manager's Chair, Gray",Chairs,Furniture
2648,68,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024,Brendan Sweed,Corporate,Gilbert,United States,Arizona,West,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Art,Office Supplies
2649,69,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988,Brendan Sweed,Corporate,Gilbert,United States,Arizona,West,85234,netTALK DUO VoIP Telephone Service,Phones,Technology
1702,70,CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,OFF-PA-10000482,75.88,2,0.0,35.6636,Karen Daniels,Consumer,Springfield,United States,Virginia,South,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,Office Supplies
2757,71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,OFF-BI-10004654,4.6160000000000005,1,0.2,1.731,Henry MacAllister,Consumer,New York City,United States,New York,East,10009,Avery Binding System Hidden Tab Executive Style Index Sets,Binders,Office Supplies
1321,72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0.0,8.763,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,Office Supplies
457,73,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912,Joel Eaton,Consumer,Memphis,United States,Tennessee,South,38109,High-Back Leather Manager's Chair,Chairs,Furniture
1580,74,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213,Joel Eaton,Consumer,Memphis,United States,Tennessee,South,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furnishings,Furniture
2796,75,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,OFF-ST-10004123,72.78399999999999,1,0.2,-18.196,Joel Eaton,Consumer,Memphis,United States,Tennessee,South,38109,Safco Industrial Wire Shelving System,Storage,Office Supplies
2904,76,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344,Ken Brennan,Corporate,Houston,United States,Texas,Central,77041,Economy Binders,Binders,Office Supplies
2908,77,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248,Ken Brennan,Corporate,Houston,United States,Texas,Central,77041,"6"" Cubicle Wall Clock, Black",Furnishings,Furniture
17,78,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724,Ken Brennan,Corporate,Houston,United States,Texas,Central,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage,Office Supplies
2804,79,US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475,Joel Eaton,Consumer,Memphis,United States,Tennessee,South,38109,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furnishings,Furniture
2944,80,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,OFF-AP-10002118,208.16,1,0.0,56.2032,Stewart Carmichael,Corporate,Decatur,United States,Alabama,South,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Office Supplies
2950,81,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,OFF-BI-10002309,16.74,3,0.0,8.0352,Stewart Carmichael,Corporate,Decatur,United States,Alabama,South,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,Binders,Office Supplies
3030,82,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0.0,4.172,Duane Noonan,Consumer,San Francisco,United States,California,West,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Art,Office Supplies
3037,83,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0.0,6.2031,Duane Noonan,Consumer,San Francisco,United States,California,West,94122,"Sortfiler Multipurpose Personal File Organizer, Black",Storage,Office Supplies
3074,84,CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075,Julie Creighton,Corporate,Durham,United States,North Carolina,South,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,Office Supplies
3109,85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549,Christopher Schild,Home Office,Chicago,United States,Illinois,Central,60623,Safco Industrial Wire Shelving,Storage,Office Supplies
2049,86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0.0,33.2156,Patrick O'Donnell,Consumer,Westland,United States,Michigan,Central,48185,Novimex Swivel Fabric Task Chair,Chairs,Furniture
3188,87,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0.0,6.7966,Paul Gonzalez,Consumer,Rochester,United States,Minnesota,Central,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories,Technology
3194,88,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0.0,2.9568,Paul Gonzalez,Consumer,Rochester,United States,Minnesota,Central,55901,Avery 511,Labels,Office Supplies
545,89,CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572,Gary Mitchum,Home Office,Houston,United States,Texas,Central,77095,Eldon Portable Mobile Manager,Storage,Office Supplies
3319,90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0.0,6.632999999999999,Jim Sink,Corporate,Los Angeles,United States,California,West,90036,Turquoise Lead Holder with Pocket Clip,Art,Office Supplies
1713,91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782,Jim Sink,Corporate,Los Angeles,United States,California,West,90036,Panasonic Kx-TS550,Phones,Technology
3322,92,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,OFF-PA-10000304,6.48,1,0.0,3.1104,Jim Sink,Corporate,Los Angeles,United States,California,West,90036,Xerox 1995,Paper,Office Supplies
3385,93,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0.0,6.2208,Karl Braun,Consumer,Minneapolis,United States,Minnesota,Central,55407,Xerox 1999,Paper,Office Supplies
888,94,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0.0,16.5354,Karl Braun,Consumer,Minneapolis,United States,Minnesota,Central,55407,"Seth Thomas 13 1/2"" Wall Clock",Furnishings,Furniture
3392,95,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0.0,16.1504,Karl Braun,Consumer,Minneapolis,United States,Minnesota,Central,55407,Ibico Standard Transparent Covers,Binders,Office Supplies
3508,96,US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.788,Roger Barcio,Home Office,Portland,United States,Oregon,West,97206,Flexible Leather- Look Classic Collection Ring Binder,Binders,Office Supplies
3547,97,CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,FUR-FU-10000629,96.53,7,0.0,40.5426,Parhena Norris,Home Office,New York City,United States,New York,East,10009,9-3/4 Diameter Round Wall Clock,Furnishings,Furniture
3622,98,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,OFF-BI-10001721,51.312,3,0.2,17.9592,Katherine Ducich,Consumer,San Francisco,United States,California,West,94122,Trimflex Flexible Post Binders,Binders,Office Supplies
2890,99,CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,0.0,22.5852,Elpida Rittenbach,Corporate,Saint Paul,United States,Minnesota,Central,55106,Fellowes Basic Home/Office Series Surge Protectors,Appliances,Office Supplies
542,100,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,OFF-PA-10003256,64.624,7,0.2,22.6184,Rick Bensley,Home Office,Chicago,United States,Illinois,Central,60610,Avery Personal Creations Heavyweight Cards,Paper,Office Supplies
3674,101,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,TEC-AC-10001767,95.976,3,0.2,-10.7973,Rick Bensley,Home Office,Chicago,United States,Illinois,Central,60610,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Accessories,Technology
1226,102,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,OFF-BI-10002609,1.788,3,0.8,-3.0396,Rick Bensley,Home Office,Chicago,United States,Illinois,Central,60610,Avery Hidden Tab Dividers for Binding Systems,Binders,Office Supplies
1682,103,CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,OFF-PA-10004040,23.92,4,0.0,11.7208,Gary Zandusky,Consumer,Rochester,United States,Minnesota,Central,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,Office Supplies
3777,104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758,Lena Cacioppo,Consumer,Aurora,United States,Colorado,West,80013,Logitech K350 2.4Ghz Wireless Keyboard,Accessories,Technology
3782,105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.8385,Lena Cacioppo,Consumer,Aurora,United States,Colorado,West,80013,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furnishings,Furniture
